uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
b5356de6-e61c-4cf5-8089-b0bd1b02150d,Freie Tankstelle Geilenberg,Freie,Horather Str. ,252,42111,Wuppertal,51.297217,7.168003,2016-01-30 00:00:01+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:30"",""endp"":""20:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:30"",""endp"":""20:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""09:00"",""endp"":""20:00""}]}]}",2023-05-01
cc82ee93-f0b5-423c-a4d0-f69f1b818326,Halfmann Mineralöl GmbH & Co. KG,Halfmann Mineralöl GmbH & Co. KG,Hauptstrasse,70,33154,Salzkotten-Verne,51.683098,8.561583,2016-02-03 00:00:01+01,"{""overrides"":[{""startp"":""2023-05-18 06:00"",""endp"":""2023-05-18 19:00"",""is_close"":true},{""startp"":""2023-05-29 06:00"",""endp"":""2023-05-29 19:00"",""is_close"":true},{""startp"":""2023-06-08 06:00"",""endp"":""2023-06-08 19:00"",""is_close"":true},{""startp"":""2023-10-03 06:00"",""endp"":""2023-10-03 19:00"",""is_close"":true},{""startp"":""2023-11-01 06:00"",""endp"":""2023-11-01 19:00"",""is_close"":true},{""startp"":""2023-12-25 06:00"",""endp"":""2023-12-25 19:00"",""is_close"":true}],""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""19:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:30"",""endp"":""17:00""}]}]}",2023-05-01
724eec4a-a0d8-49de-8000-b7c5c57781df,Tankstelle Gronau,K+K,Ochtruper Str.,127,48599,Gronau,52.206451,7.048822,2016-02-03 00:00:01+01,{},2023-05-01
9650dff7-9708-405a-9b29-30714fe99fea,Tankstelle Ahaus-Alstätte,K+K,Gronauer Str.,30,48683,Ahaus-Alstätte,52.131112,6.921104,2016-02-03 00:00:01+01,{},2023-05-01
2c5c0173-bbdc-476d-9fb4-1072577007ef,Freie Tankstelle Dicks,,Jakobistr.,39,46354,Südlohn-Oeding,51.934257507324,6.8238101005554,2016-02-04 00:00:01+01,{},2023-05-01
484b0b82-0d06-412f-a5cb-832ab4c37bad,AVIA Tankstelle,AVIA,Helenastraße,1,46397,Bocholt,51.884907,6.666918,2016-02-06 00:00:01+01,{},2023-05-01
24289d2b-3c1c-449d-8f22-b9d52dc37b9e,Armin Hess,Westfalen,Kölner Str.,111,50859,Köln,50.94731,6.84393,2016-02-12 00:00:01+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:30"",""endp"":""23:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
9996597a-58c2-4b1d-9374-cccc48f1da21,Schürkötter & Bleckmann GmbH,Freie Tankstelle Schürkötter & Bleckmann GmbH,Telgter Str. ,9,48351,Everswinkel / Aiverskirchen,51.91377,7.8092,2016-02-13 00:00:01+01,{},2023-05-01
005056ba-7cb6-1ed5-b6ab-aa8b52b1d1c5,star Tankstelle,STAR,Klever Straße,126,47839,Krefeld,51.380388,6.506818,2016-02-23 00:00:01+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""09:00"",""endp"":""22:00""}]}]}",2023-05-01
3eafadb5-8381-4070-aca8-57721c53cff3,Shell Wachtberg Am Wachtbergring 2,Shell,Am Wachtbergring,2,53343,Wachtberg,50.623141,7.122859,2016-02-25 00:00:01+01,{},2023-05-01
